💾 Step 1: Backup topik_nama lama...
✅ Backup 0 hadits → backup-topik-2026-05-21.json

🚀 Mode: GASS (full update)
📋 33 topik | 5518 hadits | 552 batches

📦 1/552 | ✏️ 3 changed | ✅ 7 same | ⏭ 0 skip
📦 2/552 | ✏️ 6 changed | ✅ 14 same | ⏭ 0 skip
📦 3/552 | ✏️ 11 changed | ✅ 19 same | ⏭ 0 skip
📦 4/552 | ✏️ 16 changed | ✅ 24 same | ⏭ 0 skip
📦 5/552 | ✏️ 20 changed | ✅ 30 same | ⏭ 0 skip
📦 6/552 | ✏️ 23 changed | ✅ 37 same | ⏭ 0 skip
📦 7/552 | ✏️ 25 changed | ✅ 45 same | ⏭ 0 skip
📦 8/552 | ✏️ 32 changed | ✅ 48 same | ⏭ 0 skip
📦 9/552 | ✏️ 34 changed | ✅ 56 same | ⏭ 0 skip
📦 10/552 | ✏️ 38 changed | ✅ 62 same | ⏭ 0 skip
📦 11/552 | ✏️ 44 changed | ✅ 66 same | ⏭ 0 skip
📦 12/552 | ✏️ 47 changed | ✅ 73 same | ⏭ 0 skip
📦 13/552 | ✏️ 53 changed | ✅ 77 same | ⏭ 0 skip
📦 14/552 | ✏️ 57 changed | ✅ 83 same | ⏭ 0 skip
📦 15/552 | ✏️ 61 changed | ✅ 89 same | ⏭ 0 skip
📦 16/552 | ✏️ 66 changed | ✅ 94 same | ⏭ 0 skip
📦 17/552 | ✏️ 69 changed | ✅ 100 same | ⏭ 1 skip
📦 18/552 | ✏️ 71 changed | ✅ 108 same | ⏭ 1 skip
📦 19/552 | ✏️ 73 changed | ✅ 116 same | ⏭ 1 skip
📦 20/552 | ✏️ 79 changed | ✅ 120 same | ⏭ 1 skip
📦 21/552 | ✏️ 81 changed | ✅ 128 same | ⏭ 1 skip
📦 22/552 | ✏️ 83 changed | ✅ 136 same | ⏭ 1 skip
📦 23/552 | ✏️ 84 changed | ✅ 145 same | ⏭ 1 skip
📦 24/552 | ✏️ 87 changed | ✅ 152 same | ⏭ 1 skip
📦 25/552 | ✏️ 88 changed | ✅ 161 same | ⏭ 1 skip
📦 26/552 | ✏️ 90 changed | ✅ 169 same | ⏭ 1 skip
📦 27/552 | ✏️ 93 changed | ✅ 176 same | ⏭ 1 skip
📦 28/552 | ✏️ 96 changed | ✅ 183 same | ⏭ 1 skip
📦 29/552 | ✏️ 100 changed | ✅ 189 same | ⏭ 1 skip
📦 30/552 | ✏️ 102 changed | ✅ 197 same | ⏭ 1 skip
📦 31/552 | ✏️ 102 changed | ✅ 207 same | ⏭ 1 skip
📦 32/552 | ✏️ 103 changed | ✅ 216 same | ⏭ 1 skip
📦 33/552 | ✏️ 107 changed | ✅ 222 same | ⏭ 1 skip
📦 34/552 | ✏️ 110 changed | ✅ 229 same | ⏭ 1 skip
📦 35/552 | ✏️ 114 changed | ✅ 235 same | ⏭ 1 skip
📦 36/552 | ✏️ 118 changed | ✅ 241 same | ⏭ 1 skip
📦 37/552 | ✏️ 123 changed | ✅ 246 same | ⏭ 1 skip
📦 38/552 | ✏️ 126 changed | ✅ 253 same | ⏭ 1 skip
📦 39/552 | ✏️ 128 changed | ✅ 261 same | ⏭ 1 skip
📦 40/552 | ✏️ 131 changed | ✅ 268 same | ⏭ 1 skip
📦 41/552 | ✏️ 134 changed | ✅ 275 same | ⏭ 1 skip
📦 42/552 | ✏️ 135 changed | ✅ 284 same | ⏭ 1 skip
📦 43/552 | ✏️ 137 changed | ✅ 292 same | ⏭ 1 skip
📦 44/552 | ✏️ 139 changed | ✅ 300 same | ⏭ 1 skip
📦 45/552 | ✏️ 143 changed | ✅ 306 same | ⏭ 1 skip
📦 46/552 | ✏️ 144 changed | ✅ 315 same | ⏭ 1 skip
📦 47/552 | ✏️ 147 changed | ✅ 322 same | ⏭ 1 skip
📦 48/552 | ✏️ 149 changed | ✅ 330 same | ⏭ 1 skip
📦 49/552 | ✏️ 150 changed | ✅ 339 same | ⏭ 1 skip
📦 50/552 | ✏️ 151 changed | ✅ 348 same | ⏭ 1 skip
📦 51/552 | ✏️ 151 changed | ✅ 358 same | ⏭ 1 skip
📦 52/552 | ✏️ 154 changed | ✅ 365 same | ⏭ 1 skip
📦 53/552 | ✏️ 156 changed | ✅ 373 same | ⏭ 1 skip
📦 54/552 | ✏️ 157 changed | ✅ 382 same | ⏭ 1 skip
📦 55/552 | ✏️ 164 changed | ✅ 385 same | ⏭ 1 skip
📦 56/552 | ✏️ 167 changed | ✅ 392 same | ⏭ 1 skip
📦 57/552 | ✏️ 168 changed | ✅ 401 same | ⏭ 1 skip
📦 58/552 | ✏️ 170 changed | ✅ 409 same | ⏭ 1 skip
📦 59/552 | ✏️ 172 changed | ✅ 417 same | ⏭ 1 skip
📦 60/552 | ✏️ 174 changed | ✅ 425 same | ⏭ 1 skip
📦 61/552 | ✏️ 177 changed | ✅ 432 same | ⏭ 1 skip
📦 62/552 | ✏️ 182 changed | ✅ 437 same | ⏭ 1 skip
